LAT;LONG;NAME
11.150044;3.662436;RIVERWASAE
11.131166;3.723919;RIVERWARAKA
11.132346;3.71188;RIVERPONIENA
8;2.166667;COLLINES
8;2.166667;DEPARTEMENTDUCOLLINES
6.366667;2.416667;DEPARTEMENTDULITTORAL
6.366667;2.416667;LITTORAL
10.85;916667;BARTIEKOUHOU
9.783333;2.083333;DANIO
10.366667;816667;GABORI
11.266667;2.983333;FAFA
9.166667;2.6;BOPOKOU
11.333333;2.916667;DEPARTEMENTDELALIBORI
11.333333;2.916667;ALIBORI
7.083333;1.833333;DEPARTEMENTDUKOUFFO
7.083333;1.833333;COUFFO
7.083333;1.833333;KOUFFO
7.466667;2.733333;ISSELOU
6.55;2.55;ONDJI
7.033333;1.966667;HAGBLADOU
10.9;2.8;SOUDOUKOUISSARE
10.333333;1.083333;KOUTOKABEGOU
7.25;2.066667;SAVAKON
6.666667;2.7;LAGBE
10.833333;1.483333;TIAWENDE
10.133333;1.616667;MOUENO
9.883333;2.9;NIAOU
6.7;2.466667;ADJOHOUN
6.7;2.466667;ADJOHON
6.7;2.466667;AJOHON
10.833333;2.533333;WOUROUNBONOU
10.6;1.1;NANTAKOUGOU
6.616667;1.75;HOUIN
11.2;2.933333;TATABOU
7.05;1.666667;ZODOUME
6.366667;2.433333;COTONOULAGOON
6.366667;2.433333;LAGUNEDECOTONOU
6.366667;2.433333;KOTONULAGOON
9.383333;2.416667;TAFIEROU
10.316667;1.65;SEPOUNGA
9.566667;2.566667;SIONA
9.9;1.916667;DAKA
9.483333;1.35;AGOUGOU
10.5;1.133333;KOUANDA
7.266667;1.966667;AGBEHE
9.916667;1.75;DOULIERO
10.433333;8;KUOTIE
7.35;1.883333;AGASOUSIGON
6.483333;2.1;SOSSAGBETO
6.483333;2.1;SOSABOGTO
9.533333;1.35;NDIAKADA
7.166667;1.916667;ADJAHAKPA
9.966667;2.5;BEKOUKOU
8.183333;1.9;MALOMI
10.65;2.966667;MONOPLABI
10.283333;1.583333;TARPOUNGA
8;1.833333;OTIO
10.6;1.016667;SIKELMA
9.833333;3.033333;KPANO
7.233333;1.916667;ZAKANME
7.233333;1.916667;ZAKAME
7.1;1.85;LANTAKOMABOU
