LAT;LONG;FULL_NAME_RG
9.15;-10.616667;Boafara
8.783333;-10.35;Boadou
8.533333;-9.266667;Blue
7.75;-8.133333;Blo
7.75;-8.133333;Blo
9.483333;-10.066667;Moria
9.066667;-10.233333;Moria
11.15;-9.95;Lélé Tamba
8.888333;-10.396111;Lèlessa
9.083333;-10.366667;Lélésa
9.083333;-10.366667;Lelessa
8.216667;-8.383333;Lélékoro
9.15;-8.8;Léléko
8.7;-10.1;Lélé Foédou
11.716667;-9.733333;Lélé
8.140556;-9.128889;Lélé
10.666667;-12.35;Lélé
11.65;-13.733333;Lela Ndondé
11.65;-13.733333;Léla
8.653056;-10.333889;Lèla
10.133333;-10.816667;Kondéboun Lamina
10.3;-10.966667;Grand Kondébou
10.3;-10.966667;Grand Kondébou
10.3;-10.966667;Kondébounba
10.3;-10.966667;Kondebou
8.568333;-9.872778;Kondéba
10.3;-11.15;Danda
7.373611;-9.129167;Dan
9.45;-10.05;Damian
9.533333;-10.316667;Damendou
9.233333;-10.116667;Damendou
9.133333;-10.116667;Dambayi
11.6;-10.9;Dambandji
8.643333;-9.281667;Dambadou
11.133333;-9.866667;Damba
8.740833;-10.2175;Damba
9.133333;-8.9;Bamaro
9.133333;-8.9;Damaro
9.133333;-8.9;Damara
11.116667;-14.7;Damangou
9.116667;-7.866667;Damandougou
8.466667;-8.616667;Biédougou
12.483333;-13.65;Bidé
8.773889;-9.800556;Bézégréga
8.916667;-8.416667;Beyla, Région Administrative de
8.916667;-8.416667;Beyla, Préfecture de
8.666667;-8.65;Beyla, Étang de
8.8;-8.016667;Beye
8.55;-8.566667;Béyagbé
8.666667;-8.533333;Beyafing
8.533333;-8.35;Beya
9.85;-11.033333;Bétaya
10.116667;-13.983333;Beta, Mont
10.116667;-13.983333;Mayondi, Mont
10.116667;-13.983333;Mauende, Mont
10.116667;-13.983333;Mahoundé, Mont
10.116667;-13.983333;Maouendé, Mont de
10.116667;-13.983333;Mayondé, Mont
8.033333;-8.016667;Babo
10.633333;-13.083333;Bahi
10.633333;-13.083333;Babi
8.433333;-8.8;Babédougou
8.05;-9.333333;Lakoyé
10.233333;-14.216667;Lakhata
10.233333;-14.216667;Lakata
10.233333;-14.216667;Larata
10.483333;-11.916667;Lahikombaya
11.633333;-13.883333;Lagui
7.393889;-9.218333;Lagbara
9.571944;-13.213889;Lafanyi
9.571944;-13.213889;Lanfangoy
12.35;-13.466667;Labobandé
10.85;-11.75;Labiko
8.576389;-9.603611;Labélinka
11.683333;-10.933333;Labékoun, Bowal
8.616667;-9.65;Labédazou
11.5;-12.25;Labé, Région Administrative de
11.5;-12.25;Labé, Préfecture de
11.25;-11.683333;Kouloun Rivière
11.25;-11.683333;Koloun
11.25;-11.683333;Koloum
11.65;-12.833333;Kolossa
8.666667;-8.383333;Kolonko
11.283333;-10.966667;Kollé Bamba
8.591667;-9.996667;Kollé
8.6;-8.65;Kollako Moussadougou
10.416667;-14.066667;Koliya
10.416667;-14.066667;Kolia
7.733333;-9.266667;Kolipolo
9.116667;-10.483333;Kaouadji
9.616667;-10.466667;Kaola
11.083333;-14.7;Conefote
11.083333;-14.7;Canefote
11.083333;-14.7;Kannefote
11.083333;-14.7;Kamufote
11.083333;-14.7;Kanufote
11.1;-14.55;Kantsirote
12.283333;-13.55;Kantoutou
12.083333;-13.733333;Kantitchi
11.583333;-12.716667;Kantakouré
9.083333;-10.55;Kantadou
10.45;-12.9;Kansouya
12.35;-13.633333;Saré Modi
12.466667;-13.5;Saré Kolia
12.416667;-13.583333;Saré Hogo
12.433333;-13.583333;Saré Guido
12.45;-13.466667;Saré Guélado
12;-13.516667;Saré Fara
12.35;-13.516667;Saré Dounia Sambassara
12.366667;-13.533333;Saré Dounia
10.666667;-11.683333;Saréboval
12.35;-13.333333;Saré Bourem
12.35;-13.55;Saré Bessoro
11.95;-10.266667;Sarébani
12.35;-13.633333;Saré Almidou
12.366667;-13.416667;Saré Alkèné
9.216667;-13.05;Mahéra
9.216667;-13.05;Mahéré
8.45;-9.283333;Kouébo
8.9;-9.966667;Koué
9.516667;-12.883333;Koudindi
10.833333;-11.2;Koudéta
11.05;-14.566667;Kouda
10.066667;-13.633333;Koubiya
10.066667;-13.633333;Koubia
11.05;-13.583333;Kinnki
11.05;-13.583333;Kinkin
12.016667;-13.033333;Kaataba
8.7;-8.366667;Kaala
10.083333;-14.183333;Jily, Pointe
10.083333;-14.183333;Jili Point
7.6;-8.966667;Janiye
7.460833;-9.271667;Iyai
7.460833;-9.271667;Yai
12.516667;-13.1;Itiou
8.6175;-9.758333;Sobaou
8.6175;-9.758333;Sabaou
8.583333;-10.533333;Soadou
8.416667;-10.566667;Soadou
11.633333;-13.233333;Sitipo
10.05;-11.716667;Sitakoto
9.7;-10.4;Sissemoria
10.833333;-10.633333;Cisséla
10.833333;-10.633333;Ciséla Station
10.833333;-10.633333;Sisséla
9.016667;-9.433333;Sirouadou
11.333333;-10.366667;Siron Siro
11.566667;-14.233333;Sirisara
11.533333;-10.5;Boné
8.911944;-10.296111;Bondou
9.05;-10.166667;Bondo
9.683333;-10.916667;Bondi
9.683333;-10.916667;Bandi, Mont
9.166667;-10.083333;Bondadou
9.066667;-9.75;Banama
9.066667;-9.75;Banaman
8.8;-8.4;Bamouroudougou
10.55;-13.366667;Bamakori
10.55;-13.366667;Baminkhouré
11.4;-11.016667;Bamiko
9.457222;-13.823611;Poulet, Île
12.066667;-13.7;Pouha
11.416667;-14.033333;Poudoukou
11.133333;-14.766667;Poutou Pata
11.133333;-14.766667;Potopata
10.25;-11.583333;Portofita
11.1;-11.566667;Kéouédji
7.533333;-9.366667;Hiongalan
11.2;-14.166667;Hidaya
7.437778;-9.321389;Hian
10.883333;-11.25;Hériko
10.716667;-11.866667;Hériko
10.366667;-15.066667;Sud, Pointe
10.366667;-15.066667;South Prong
9.116667;-13.316667;Sud, Passe du
9.116667;-13.316667;Sud, Chenal
12.066667;-10.85;Subé Kendé
12.066667;-10.85;Subékandé
8.200833;-9.052778;Subatano
10.616667;-15.35;Spitfire, Roche
8.908056;-10.284444;Sozé
8.483333;-8.783333;Soyaro
11.4;-10.8;Soya
9.833333;-12.516667;Soutidé
12.3;-13.683333;Soutéré Marissa Mali
11.633333;-10.95;Souroussou
8.495278;-9.583611;Sourounka
11.016667;-11.6;Souroundou
10.866667;-10.983333;Souroumba, Mont
8.862778;-10.063889;Bendou
8.803333;-10.263889;Bendou
11.416667;-10.15;Bendénaye
9.183333;-10.533333;Bendélatiou
8.720833;-10.426944;Bendékoyé
8.720833;-10.426944;Bende Koyé
11.783333;-10.7;Bendékoudé
10.45;-12.333333;Bendé Hili
8.308333;-9.036667;Goboèla
8.308333;-9.036667;Gabouhéla
11.133333;-10.9;Fadia
10.883333;-11.35;Fadama
10.616667;-9.683333;Fadama
10.733333;-9.616667;Fadakoba
10.866667;-8.15;Faboulako
8.45;-8.3;Fabouédougou
8.35;-8.45;Fabouédougou
8.35;-8.45;Faboridougou
9.183333;-10.383333;Faâdou
9.733333;-10.383333;Héréko
9.733333;-10.383333;Erako
9.333333;-10.383333;Erako
11.266667;-10.416667;Elimangol
12.4;-13.15;El Bolet
10.9;-14.083333;Dyiga Diorata
10.9;-14.083333;Digadiora
11.033333;-9.933333;Dyi Dyi
9.083333;-10.633333;Ouoldou
8.316667;-9.45;Ouodoboyé
10.65;-14.033333;Ounsiré Bourédi
11.65;-13.3;Ounié
12.466667;-13.1;Oungwariel
12.633333;-13.316667;Ounéol
11.933333;-11.75;Oundou
9.216667;-10.633333;Oundou
12.5;-13.1;Oundagne
8.601667;-9.764167;Oumézia
