LAT;LONG;FULL_NAME_ND_RO;;;;;;;;;;;;;;;;;;;;;;;;;;
15.9818;-16.4376;Ndiobene Toube;;;;;;;;;;;;;;;;;;;;;;;;;;
15.9818;-16.4376;Ndiebene Toube;;;;;;;;;;;;;;;;;;;;;;;;;;
15.4716;-16.3383;Ngoumba;;;;;;;;;;;;;;;;;;;;;;;;;;
15.4716;-16.3383;Ngoumba Ngueoul;;;;;;;;;;;;;;;;;;;;;;;;;;
15.1578;-16.4475;Gati Ngraf;;;;;;;;;;;;;;;;;;;;;;;;;;
15.1578;-16.4475;Gati Ngaraf;;;;;;;;;;;;;;;;;;;;;;;;;;
15.1578;-16.4475;Gatti N'Grab;;;;;;;;;;;;;;;;;;;;;;;;;;
14.15;-16.033333;Kahone;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-14.45;Kaho;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-14.733333;Kahene;;;;;;;;;;;;;;;;;;;;;;;;;;
12.355;-16.603889;Kaheme;;;;;;;;;;;;;;;;;;;;;;;;;;
12.355;-16.603889;Kahem;;;;;;;;;;;;;;;;;;;;;;;;;;
12.65;-15.25;Kahal;;;;;;;;;;;;;;;;;;;;;;;;;;
12.4;-16.422222;Kaguite Douma;;;;;;;;;;;;;;;;;;;;;;;;;;
12.4;-16.422222;Kaguit Douma;;;;;;;;;;;;;;;;;;;;;;;;;;
12.548889;-16.627778;Kagnout;;;;;;;;;;;;;;;;;;;;;;;;;;
13.566667;-13.216667;Marigot de Kagnibe;;;;;;;;;;;;;;;;;;;;;;;;;;
13.566667;-13.216667;Kagnoube;;;;;;;;;;;;;;;;;;;;;;;;;;
12.842222;-16.42;Kanobon;;;;;;;;;;;;;;;;;;;;;;;;;;
12.842222;-16.42;Kagnobon;;;;;;;;;;;;;;;;;;;;;;;;;;
12.842222;-16.42;Kaniobon;;;;;;;;;;;;;;;;;;;;;;;;;;
12.85;-16.75;Kafoutine Boronda;;;;;;;;;;;;;;;;;;;;;;;;;;
12.85;-16.75;Kafountine Boronda;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-16.733333;Marigot de Sakak;;;;;;;;;;;;;;;;;;;;;;;;;;
13.9;-16.733333;Bolon Saka;;;;;;;;;;;;;;;;;;;;;;;;;;
15.116667;-16.433333;Niouki;;;;;;;;;;;;;;;;;;;;;;;;;;
15.116667;-16.433333;N'Dioukh;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-15.8;Nioro-du Pup;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-15.8;Nioro du Rip;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-15.8;Nioro;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-15.75;Nioro du Rip;;;;;;;;;;;;;;;;;;;;;;;;;;
13.75;-15.75;Nioro;;;;;;;;;;;;;;;;;;;;;;;;;;
13.35;-15.75;Nioro;;;;;;;;;;;;;;;;;;;;;;;;;;
13.5;-15.05;Nioro;;;;;;;;;;;;;;;;;;;;;;;;;;
12.95;-16.633333;Nion Bolon;;;;;;;;;;;;;;;;;;;;;;;;;;
12.639444;-16.656667;Niomoune;;;;;;;;;;;;;;;;;;;;;;;;;;
14.45;-16;Niombre;;;;;;;;;;;;;;;;;;;;;;;;;;
14.433333;-16.7;Niomar;;;;;;;;;;;;;;;;;;;;;;;;;;
13.633333;-16.016667;Velinngara;;;;;;;;;;;;;;;;;;;;;;;;;;
13.633333;-16.016667;Velingara;;;;;;;;;;;;;;;;;;;;;;;;;;
13.566667;-13.55;Velinngara;;;;;;;;;;;;;;;;;;;;;;;;;;
13.566667;-13.55;Velingara;;;;;;;;;;;;;;;;;;;;;;;;;;
14.55;-16.616667;Moadane;;;;;;;;;;;;;;;;;;;;;;;;;;
14.55;-16.616667;Fissel Mbandane;;;;;;;;;;;;;;;;;;;;;;;;;;
14.55;-16.616667;Fissel;;;;;;;;;;;;;;;;;;;;;;;;;;
13.7;-15.683333;Fargui;;;;;;;;;;;;;;;;;;;;;;;;;;
13.7;-15.683333;Firgui;;;;;;;;;;;;;;;;;;;;;;;;;;
12.658889;-16.115;Finntiok;;;;;;;;;;;;;;;;;;;;;;;;;;
12.683333;-16.216667;Figrome;;;;;;;;;;;;;;;;;;;;;;;;;;
12.683333;-16.216667;Djiguinoum Figrom;;;;;;;;;;;;;;;;;;;;;;;;;;
14.75;-16.233333;Fiarine Diana;;;;;;;;;;;;;;;;;;;;;;;;;;
13.666667;-16.05;Fetto;;;;;;;;;;;;;;;;;;;;;;;;;;
12.953889;-15.109167;Dieminguike;;;;;;;;;;;;;;;;;;;;;;;;;;
12.95;-16;Diemi;;;;;;;;;;;;;;;;;;;;;;;;;;
13.95;-15.8;Nderi;;;;;;;;;;;;;;;;;;;;;;;;;;
16.255;-15.887222;Nder;;;;;;;;;;;;;;;;;;;;;;;;;;
14.4;-16.533333;Ndendiet;;;;;;;;;;;;;;;;;;;;;;;;;;
14.4;-16.533333;N'Denediete;;;;;;;;;;;;;;;;;;;;;;;;;;
14.416667;-15.9;Ndemgom;;;;;;;;;;;;;;;;;;;;;;;;;;
15.083333;-16.316667;Ndemene;;;;;;;;;;;;;;;;;;;;;;;;;;
15.033333;-16.45;N'Deken;;;;;;;;;;;;;;;;;;;;;;;;;;
