LAT;LONG;FULL_NAME_RO
9.383333;1.166667;Dogadé
7.633333;1.633333;Tchotohou
9.35;1.266667;Tchonoro
9.45;.8;Onbatédèmpo
7.433333;1.383333;Assanté
7.433333;1.383333;Asanté
7.25;1.25;Arigono
6.983333;.566667;Apoti
7.55;1.066667;Apégamé
6.916667;1.266667;Apaton
8.4;1.366667;Iba
9.9;1.116667;Mont Hourhao
7.133333;1.066667;Houdikoukopé
7.183333;1.066667;Agblantité
9.816667;.8;Wango
10.433333;.266667;Wandégué
9.483333;1.333333;Walaoulacé
9.666667;.566667;Wagam
9.666667;.566667;Wagram
6.716667;1.233333;Vouto
10.2;.633333;Goné
9.533333;.95;Boussémou
7.516667;1.266667;Kougnohou
8.516667;.6;Sabóngari
8.516667;.6;Kouéda
8.516667;.6;Kueda
8.516667;.6;Kuëso
9.85;.816667;Koudyoman
9.85;.816667;Koudioman
7.133333;.633333;Koudjravi
9.566667;.533333;Niagbangbou
8.033333;1.516667;Néyépa
7.133333;.666667;Ndigbé Apédomé
7.133333;.666667;Ndigbé
6.6;1.55;Sikpé Adégou
9.25;.6;Binatapé
9.3;.566667;Binadioubé
8.35;1.416667;Bilibendé
8.35;1.416667;Bilibenndé
7.433333;1.333333;Akakaï
7.95;1.05;Akaba
7.316667;1.483333;Aissaoui
10.566667;.166667;Lampogo
10.566667;.166667;Lammpogo
9.416667;1.15;Lamba
6.95;1.233333;Lalou
10.166667;.433333;Lakadori
9.116667;1.016667;Tchantaboua
7.516667;.766667;Ohan Okou
7.516667;.766667;Ong Ha
7.183333;.65;Agbémanolouhoué
6.9;.733333;Agbédjikpo
6.9;.733333;Agbétiko
6.65;1.316667;Agbati Kopé
6.7;.716667;Rhénonvi
6.3;1.4;Rhanou
7.566667;.616667;Mont Okopobé
7.733333;1.433333;Okéloukoutou
6.583333;.75;Agnaoui
6.583333;.75;Anyarhwi
6.583333;.75;Anyahoui
9.716667;.616667;Sakpalé
7.6;1.15;Sagognon
7.05;1.5;Sagada
6.866667;.6;Sadomé
9.283333;1.216667;Agaradé
7.45;.9;Agadji
9.383333;1.216667;Afoudi
8;1.55;Afodi
10;.55;Toulounbongou
6.533333;.883333;Toukouikopé
10.583333;.166667;Tanbingué
6.3;1.683333;Amadou
9.95;1.233333;Alouméré
9.983333;1.35;Alolakou
7.15;1.6;Allou
6.35;.933333;Zébédé
7.416667;1.083333;Zavé
6.783333;.583333;Youssakofé
6.783333;.583333;Yousakofé
6.683333;1.3;Joto
6.683333;1.3;Yoto
6.5;.966667;Gbafa Kopé
6.5;.966667;Atiavé
10.95;.416667;Yenntandi
10.95;.416667;Yentandi
10.3;.633333;Boni
9.8;.65;Bongboldo
7.9;1.166667;Sarou
9.45;1.316667;Sara
7.766667;1.183333;Sapalo
9.483333;.933333;Santé-Haut
6.45;1.183333;Guédjé
6.45;1.183333;Guédji
9.4;1.15;Groungrouboui
9.4;1.15;Groungouboui
6.216667;1.533333;Gounkopé
8.65;1.466667;Gubi
8.65;1.466667;Goubi
6.783333;1.133333;Adoupé
7.566667;.683333;Adossa
7.216667;1.05;Adogli
7.883333;.816667;Tomegboué
6.333333;1.566667;Tomé
10.683333;.05;Tolon
7.116667;.8;Tokpognikopé
9.733333;.766667;Payoubo
6.483333;1.566667;Djirekpo Rhagou
7.566667;.833333;Avlossoulé
9.5;.333333;Kandiado
9.65;1.366667;Kanaodja
7.933333;.85;Kamina
10.066667;.633333;Ayékporé
7.3;.833333;Mont Tokpli
6.666667;1.6;Topli
6.666667;1.6;Tokpli
7.583333;.583333;Djidji
10.333333;.7;Djé Wogou
7.833333;1.566667;Djénon
6.466667;.866667;Diogbakpé
6.466667;.866667;Djegba
7.25;1.583333;Kpomé
8.1;1.3;Kpokodjé
6.5;.983333;Kpodji
9.7;.8;Kaktapalessi
